this_section_number,film_title,film_director,section_number_1,section_number_2,section_number_3
119,Everything Everywhere All At Once,Daniel Scheinert and Daniel Kwan,179,228,222
120,Jodorowsky's Dune,Frank Pavich,87,43,159
121,Plague Dogs,Martin Rosen,53,20,230
122,True Grit,Ethan Coen and Joel Coen,149,65,158
123,The Wiz,Sidney Lumet,104,178,128
124,Before the Devil Knows You're Dead,Sidney Lumet,131,137,6
125,To Live and Die in LA,William Friedkin,108,129,41
126,Bad Lieutenant,Abel Ferrara,37,143,155
127,King of New York,Abel Ferrara,4,141,166
128,New Jack City,Mario Van Peebles,192,15,83
129,Welcome to the Dollhouse,Todd Solondz,196,18,29
130,Menace II Society,Allen Hughes and Albert Hughes,221,154,14
131,Friday,F. Gary Gray,77,32,76
132,Frances Ha,Noah Baumbach,107,244,202
133,Killer of Sheep,Charles Burnett,68,161,180
134,The Hudsucker Proxy,Joel Coen,239,104,163
135,Metropolis,Fritz Lang,160,116,250
136,The Red Shoes,Emeric Pressburger and Michael Powell,44,118,22
137,Black Narcissus,Emeric Pressburger and Michael Powell,202,92,117
138,Peeping Tom,Michael Powell,86,82,177
139,Shivers,David Cronenberg,31,169,181
140,Cosmopolis,David Cronenberg,248,37,247
141,Bonfire of the Vanities,Brian De Palma,33,224,233
142,The Accidental Tourist,Lawrence Kasdan,72,93,241
143,Cleo from 5 to 7,Agnès Varda,201,180,235
144,The Umbrellas of Cherbourg,Jacques Demy,178,127,244
145,Black Orpheus,Marcel Camus,84,70,124
146,Orpheus,Jean Cocteau,123,203,52
147,Les Parents Terribles,Jean Cocteau,45,234,179
148,The 400 Blows,François Truffaut,70,91,152
149,Jules et Jim,François Truffaut,16,79,88
150,Hitchcock/Truffaut,Kent Jones,214,61,218
151,Vivre sa Vie,Jean-Luc Godard,232,174,5
152,Contempt,Jean-Luc Godard,217,140,63
153,La Chinoise,Jean-Luc Godard,129,35,192
154,Johnny Guitar,Nicholas Ray,71,97,169
155,Asphalt Jungle,John Huston,81,12,60
156,Rififi,Jules Dassin,185,223,130
157,Bob Le Flambeur,Jean-Pierre Melville,236,181,20
158,Le Doulos,Jean-Pierre Melville,29,14,208
159,Jackie Brown,Quentin Tarantino,175,46,171
160,Daisies,Věra Chytilová,75,195,93
161,Funeral Parade of Roses,Toshio Matsumoto,110,83,97
162,The Color of Pomegranates,Sergei Parajanov,244,73,245
163,Latcho Drom,Tony Gatlif,79,225,85
164,Ten Things I Hate About You,Gil Junger,227,71,196
165,Clueless,Amy Heckerling,27,11,120
166,Hiroshima Mon Amour,Alain Resnais,128,30,116
167,Night and Fog,Alain Resnais,57,235,191
168,Mauvais Sang,Leos Carax,165,54,217
169,The Rules of the Game,Jean Renoir,195,44,51
170,Wings of Desire,Wim Wenders,85,229,165
171,The Battle of Algiers,Gillo Pontecorvo,158,216,89
172,Bottle Rocket,Wes Anderson,138,156,53
173,Quadrophenia,Franc Roddam,231,183,219
174,L'Insoumis,Alain Cavalier,208,191,228
175,Four Adventures of Reinette and Mirabelle,Éric Rohmer,142,80,173
176,The Nun (La Religieuse),Jacques Rivette,111,132,215
177,Celine and Julie Go Boating,Jacques Rivette,125,184,193
178,Out 1,Jacques Rivette,35,158,115
179,La Belle Noiseuse,Jacques Rivette,230,249,137
180,L'Amour Fou,Jacques Rivette,62,75,1
181,Paris Belongs to Us (Paris Nous Appartient),Jacques Rivette,200,164,61
182,"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles",Chantal Akerman,63,126,13
183,Julien Donkey-Boy,Harmony Korine,60,66,207
184,The Royal Tenenbaums,Wes Anderson,159,214,46
185,Desperately Seeking Susan,Susan Seidelman,180,170,42
186,Rushmore,Wes Anderson,161,231,92
187,The Life Aquatic with Steve Zissou,Wes Anderson,20,130,44
188,The Darjeeling Limited,Wes Anderson,116,29,109
189,Une Femme Est Une Femme,Jean-Luc Godard,119,194,249
190,The Grand Budapest Hotel,Wes Anderson,18,206,141
191,Fantastic Mr. Fox,Wes Anderson,38,120,79
192,The Departed,Martin Scorsese,249,26,182
193,Bande a Parte,Jean-Luc Godard,223,179,126
194,A Married Woman,Jean-Luc Godard,134,68,82
195,Pierrot Le Fou,Jean-Luc Godard,147,62,8
196,Sois Belle et Tais Toi,Delphine Seyrig,6,119,34
197,Moonrise Kingdom,Wes Anderson,76,196,189
198,Trash Humpers,Harmony Korine,13,175,178
199,Bluebeard (Chabrol),Claude Chabrol,143,36,78
200,Kids,Larry Clark,23,117,139
201,Elevator to the Gallows,Louis Malle,140,38,138
202,Masculin Feminin,Jean-Luc Godard,132,162,227
203,But I'm a Cheerleader,Jamie Babbit,226,48,62
204,King Lear,Jean-Luc Godard,34,102,28
205,Two or Three Things I Know About Her,Jean-Luc Godard,187,168,68
206,Weekend,Jean-Luc Godard,124,108,16
207,One Plus One,Jean-Luc Godard,209,198,102
208,Punch Drunk Love,Paul Thomas Anderson,14,173,45
209,Tout Va Bien,Jean-Luc Godard,246,85,107
210,British Sounds,Jean-Luc Godard,133,160,57
211,Le Petit Soldat,Jean-Luc Godard,100,42,111
212,Les Carabiniers,Jean-Luc Godard,222,115,214
213,The Decline of Western Civilization,Penelope Spheeris,89,81,59
214,What We Do Is Secret,Rodger Grossman,17,84,87
215,Made In U.S.A.,Jean-Luc Godard,122,56,142
216,Antoine et Colette,François Truffaut,103,187,19
217,Suburbia,Penelope Spheeris,59,121,101
218,Suburbia,Richard Linklater,80,105,172
219,Housebound,Gerard Johnstone,213,49,206
220,Les Cousins,Claude Chabrol,207,219,199
221,24 Hour Party People,Michael Winterbottom,171,157,234
222,Les Bonnes Femmes,Claude Chabrol,174,209,7
223,God Help the Girl,Stuart Murdoch,121,207,110
224,Lola,Jacques Demy,106,148,50
225,Stolen Kisses,François Truffaut,237,33,150
226,Bed and Board,François Truffaut,26,110,122
227,Arrival,Denis Villeneuve,191,4,231
228,The Wolf of Wall Street,Martin Scorsese,153,220,86
229,Love on the Run,François Truffaut,3,53,73
230,Boyz n the Hood,John Singleton,194,13,108
231,Boyhood,Richard Linklater,218,246,131
232,Shoot the Piano Player,François Truffaut,167,95,48
233,Pontypool,Bruce McDonald,78,153,65
234,Wittgenstein,Tariq Ali,242,165,119
235,Stop Making Sense,Jonathan Demme,112,222,209
236,Bent,Sean Mathias,49,106,31
237,Last Tango in Paris,Bernardo Bertolucci,97,238,71
238,Being Maria,Jessica Palud,168,201,75
239,Madame Bovary,Claude Chabrol,102,176,66
240,Day For Night,François Truffaut,155,190,186
241,Soapdish,Michael Hoffman,43,64,183
242,Kika,Pedro Almodóvar,188,6,99
243,Zazie dans le Metro,Louis Malle,117,233,132
244,Holy Motors,Leos Carax,164,111,223
245,The Tin Drum,Volker Schlöndorff,12,27,237
246,Women on the Verge of a Nervous Breakdown,Pedro Almodóvar,229,23,240
247,Tie Me Up Tie Me Down,Pedro Almodóvar,170,31,243
248,What Have I Done To Deserve This,Pedro Almodóvar,193,101,94
249,"Pepi, Luci, Bom and Other Girls Like Mom",Pedro Almodóvar,82,248,74
250,Beware of a Holy Whore,Rainer Werner Fassbinder,162,152,198
