,,imdb_link
104,Meeting Gorbachev,https://www.imdb.com/title/tt8811382/
105,The Fire Within: Requiem for Katia and Maurice Krafft,https://www.imdb.com/title/tt19383190/
106,Werner Herzog Short Films,https://www.imdb.com/name/nm0001348/
107,Gates of Heaven,https://www.imdb.com/title/tt0077598/
108,"Vernon, Florida",https://www.imdb.com/title/tt0083281/
109,The Thin Blue Line,https://www.imdb.com/title/tt0096257/
110,The Fog of War: Eleven Lessons from the Life of Robert S. Macnamara,https://www.imdb.com/title/tt0317910/
111,The Killing Fields,https://www.imdb.com/title/tt0087553/
112,King Corn,https://www.imdb.com/title/tt1112115/
113,Once Upon a Time in America,https://www.imdb.com/title/tt0087843/
114,Spring Breakers,https://www.imdb.com/title/tt2101441/
115,Red Army,https://www.imdb.com/title/tt3264102/
116,Cool World,https://www.imdb.com/title/tt0104009/
117,Interstellar,https://www.imdb.com/title/tt0816692/
118,Hotel Rwanda,https://www.imdb.com/title/tt0395169/
119,Everything Everywhere All At Once,https://www.imdb.com/title/tt6710474/
120,Jodorowsky's Dune,https://www.imdb.com/title/tt1935156/
121,Plague Dogs,https://www.imdb.com/title/tt0084509/
122,True Grit,https://www.imdb.com/title/tt1403865/
123,The Wiz,https://www.imdb.com/title/tt0078504/
124,Before the Devil Knows You're Dead,https://www.imdb.com/title/tt0292963/
125,To Live and Die in LA,https://www.imdb.com/title/tt0090180/
126,Bad Lieutenant,https://www.imdb.com/title/tt0103759/
127,King of New York,https://www.imdb.com/title/tt0099939/
128,New Jack City,https://www.imdb.com/title/tt0102526/
129,Welcome to the Dollhouse,https://www.imdb.com/title/tt0114906/
130,Menace II Society,https://www.imdb.com/title/tt0107554/
131,Friday,https://www.imdb.com/title/tt0113118/
132,Frances Ha,https://www.imdb.com/title/tt2347569/
133,Killer of Sheep,https://www.imdb.com/title/tt0076263/
134,The Hudsucker Proxy,https://www.imdb.com/title/tt0110074/
135,Metropolis,https://www.imdb.com/title/tt0017136/
136,The Red Shoes,https://www.imdb.com/title/tt0040725/
137,Black Narcissus,https://www.imdb.com/title/tt0039192/
138,Peeping Tom,https://www.imdb.com/title/tt0054167/
139,Shivers,https://www.imdb.com/title/tt0073705/
140,Cosmopolis,https://www.imdb.com/title/tt1480656/
141,Bonfire of the Vanities,https://www.imdb.com/title/tt0099165/
142,The Accidental Tourist,https://www.imdb.com/title/tt0094606/
143,Cleo from 5 to 7,https://www.imdb.com/title/tt0055852/
144,The Umbrellas of Cherbourg,https://www.imdb.com/title/tt0058450/
145,Black Orpheus,https://www.imdb.com/title/tt0053146/
146,Orpheus,https://www.imdb.com/title/tt0041719/
147,Les Parents Terribles,https://www.imdb.com/title/tt0040682/
148,The 400 Blows,https://www.imdb.com/title/tt0053198/
149,Jules et Jim,https://www.imdb.com/title/tt0055032/
150,Hitchcock/Truffaut,https://www.imdb.com/title/tt3748512/
151,Vivre sa Vie,https://www.imdb.com/title/tt0056663/
152,Contempt,https://www.imdb.com/title/tt0057345/
153,La Chinoise,https://www.imdb.com/title/tt0061473/
154,Johnny Guitar,https://www.imdb.com/title/tt0047136/
155,Asphalt Jungle,https://www.imdb.com/title/tt0042208/
156,Rififi,https://www.imdb.com/title/tt0048021/
157,Bob Le Flambeur,https://www.imdb.com/title/tt0047892/
158,Le Doulos,https://www.imdb.com/title/tt0054821/
